Experiment,Val Loss,BLEU-4,Gen Length,Length Ratio,Distinct-1,Distinct-2,Repetition,Throughput (tok/s),Latency (s)
AR Baseline,4.57 (ppl),0.1038,63.3,1.128,0.544,0.870,0.099,260.5,0.242
NAR Baseline (20q),36.99 (ctc),0.1286,2.0,0.578,0.667,0.000,0.000,602.1,0.002
10x LR (20q),39.14,0.1702,30.0,0.684,0.362,0.618,0.254,,0.001
Ortho Init (20q),38.61,0.1445,54.0,0.583,0.291,0.561,0.403,,0.002
AdamW Only (20q),36.54,0.1456,45.0,0.589,0.297,0.602,0.399,516.5,0.002
Sliding 30q (high LR),57.72,0.0932,61.7,0.529,0.220,0.536,0.432,10819.9,0.001
Sliding 30q (low LR + AdamW),55.91,0.1007,66.0,0.525,0.243,0.598,0.358,3149.2,0.002
